timestamp,lap_progress,speed_kmh,rpms,gear,throttle,brake,clutch,steer_angle,g_lat,g_vert,g_lon,vel_x,vel_y,vel_z,slip_angle,yaw_rate,pitch_rate,roll_rate,heading,pitch,roll,susp_fl,susp_fr,susp_rl,susp_rr,load_fl,load_fr,load_rl,load_rr,slip_fl,slip_fr,slip_rl,slip_rr,psi_fl,psi_fr,psi_rl,psi_rr,tyre_core_fl,tyre_core_fr,tyre_core_rl,tyre_core_rr,temp_i_fl,temp_i_fr,temp_i_rl,temp_i_rr,temp_m_fl,temp_m_fr,temp_m_rl,temp_m_rr,temp_o_fl,temp_o_fr,temp_o_rl,temp_o_rr,wear_fl,wear_fr,wear_rl,wear_rr,brake_temp_fl,brake_temp_fr,brake_temp_rl,brake_temp_rr,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr,camber_fl,camber_fr,camber_rl,camber_rr,ride_height_f,ride_height_r,cg_height,turbo_boost,drs,tc,abs,brake_bias,air_temp,road_temp,water_temp,fuel,pos_x,pos_z
1777979853.9901533,0.0,1.1043134927749634,2819,1,0.0,0.0,0.6389949321746826,0.0,-0.0038218051195144653,0.0887482762336731,0.6124361157417297,-0.008776232600212097,0.04277855157852173,0.3232843279838562,0.0,0.005410905461758375,-0.01809236779808998,0.0033119884319603443,2.664787530899048,-0.011118115857243538,-0.09847596287727356,0.06896743923425674,0.07069867849349976,0.09705503284931183,0.09685634821653366,3030.32861328125,3529.376220703125,4150.6904296875,4145.712890625,0.05844959616661072,0.12226201593875885,3.417351484298706,3.426544189453125,16.00925064086914,16.012428283691406,16.015384674072266,16.01320457458496,26.05781364440918,26.077678680419922,26.09615707397461,26.082530975341797,26.201780319213867,26.348155975341797,26.887128829956055,26.93987274169922,26.21246337890625,26.264915466308594,26.854169845581055,26.821922302246094,26.290515899658203,26.255306243896484,26.96558380126953,26.844587326049805,99.5001220703125,99.50032806396484,99.50202941894531,99.50186920166016,26.0,26.0,26.0,26.0,0.8534384369850159,1.0185675621032715,33.91053771972656,33.91053771972656,-0.05510888621211052,0.05370943993330002,-0.02383849211037159,0.026541003957390785,0.06731021404266357,0.06991797685623169,0.4008340835571289,0.5232042074203491,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.99640464782715,-0.0,-0.0
1777979854.0053902,0.0,1.453407645225525,2581,1,0.0,0.0,0.35649386048316956,0.0,0.0012118220329284668,0.0769176185131073,0.6580314040184021,-0.00829276442527771,0.05332566052675247,0.4200173616409302,0.0,0.005683579482138157,-0.014985858462750912,0.005475906655192375,2.6647207736968994,-0.0108641954138875,-0.0985577180981636,0.06853508949279785,0.07032047212123871,0.0965757966041565,0.09642091393470764,2839.79150390625,3363.48388671875,4149.2412109375,4174.7451171875,0.07638183981180191,0.1115853488445282,3.780933380126953,3.790684461593628,16.009275436401367,16.01245880126953,16.015493392944336,16.013309478759766,26.05797576904297,26.077869415283203,26.096832275390625,26.083189010620117,26.20235252380371,26.34897232055664,27.016324996948242,27.07855796813965,26.213058471679688,26.26556968688965,26.980138778686523,26.948163986206055,26.291259765625,26.25594139099121,27.10347557067871,26.973575592041016,99.50012969970703,99.50032806396484,99.50238800048828,99.50223541259766,26.0,26.0,26.0,26.0,1.2212142944335938,1.0877994298934937,29.022939682006836,29.022939682006836,-0.054884351789951324,0.0533708855509758,-0.02346731349825859,0.026129798963665962,0.06731024384498596,0.06991803646087646,0.4015798568725586,0.5094001293182373,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.99640464782715,-0.0028252381368934296,-0.005743754123734646
1777979854.021354,0.0,1.8040058612823486,2451,1,0.0,0.0,0.18899711966514587,0.0,-0.02317821979522705,0.04514831304550171,0.6779311895370483,-0.0114765465259552,0.05947382003068924,0.5154664516448975,0.0,0.0035547709558159113,-0.009655479341745377,0.004140674136579037,2.664674997329712,-0.010678110644221306,-0.09862394630908966,0.06803615391254425,0.06982921808958054,0.09616397321224213,0.09605374932289124,2654.611572265625,3214.473388671875,4064.468505859375,4118.1142578125,0.08022007346153259,0.11998271942138672,4.036731719970703,4.047162055969238,16.009302139282227,16.012489318847656,16.015607833862305,16.013423919677734,26.058137893676758,26.078060150146484,26.097549438476562,26.08389663696289,26.20282745361328,26.3497371673584,27.11919403076172,27.189489364624023,26.213552474975586,26.26618194580078,27.080394744873047,27.049190521240234,26.29189109802246,26.25653648376465,27.213186264038086,27.076862335205078,99.50012969970703,99.50032806396484,99.50267028808594,99.50252532958984,26.0,26.0,26.0,26.0,1.4257514476776123,1.5370006561279297,21.72466468811035,21.72466468811035,-0.05459379032254219,0.052940309047698975,-0.023211468011140823,0.025725778192281723,0.06731027364730835,0.06991809606552124,0.4024477005004883,0.4959602355957031,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.99640464782715,-0.0064398450602849225,-0.013138436385532195
1777979854.0366254,0.0,2.1373469829559326,2501,1,0.6499999761581421,0.0,0.21009765565395355,0.0,0.043235331773757935,-0.015304060652852058,0.5964897274971008,-0.00900338590145111,0.05999491736292839,0.6100648641586304,0.0,0.005039825104176998,-0.0034057230222970247,0.006524183787405491,2.664616107940674,-0.010582339018583298,-0.09870459884405136,0.06743943691253662,0.06931290775537491,0.09575880318880081,0.09570571035146713,2511.2431640625,3087.061767578125,3917.663330078125,3999.669189453125,0.06945835798978806,0.15614745020866394,4.257774353027344,4.267277240753174,16.009328842163086,16.01251983642578,16.015731811523438,16.0135440826416,26.058300018310547,26.078250885009766,26.098318099975586,26.08465576171875,26.203266143798828,26.35041618347168,27.187223434448242,27.26333236694336,26.214012145996094,26.266727447509766,27.146663665771484,27.1164608001709,26.29248046875,26.257061004638672,27.285696029663086,27.145673751831055,99.50012969970703,99.50032806396484,99.50286102294922,99.50271606445312,26.0,26.0,26.0,26.0,1.6409815549850464,1.6310639381408691,14.169305801391602,14.169305801391602,-0.0542595311999321,0.05250231549143791,-0.022940928116440773,0.02534400299191475,0.06731027364730835,0.06991815567016602,0.4033622741699219,0.5168138146400452,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.996328353881836,-0.010594885409035614,-0.021478270562669377
1777979854.051945,0.0,2.4592297077178955,2543,1,0.6499999761581421,0.0,0.2638414204120636,0.0,0.00620780885219574,-0.03206866234540939,0.5769343972206116,-0.008663207292556763,0.05487615987658501,0.6985105872154236,0.0,0.005285028368234634,0.003146712202578783,0.004447340965270996,2.6645398139953613,-0.010583559051156044,-0.09878954291343689,0.06682842969894409,0.06876257807016373,0.0952969565987587,0.09534411877393723,2410.67919921875,3016.809326171875,3757.30908203125,3861.015869140625,0.08707825839519501,0.13933518528938293,4.413118839263916,4.422677516937256,16.009353637695312,16.012550354003906,16.015859603881836,16.013671875,26.058462142944336,26.078441619873047,26.099119186401367,26.08544921875,26.2037353515625,26.350988388061523,27.226009368896484,27.3054256439209,26.214500427246094,26.267169952392578,27.184429168701172,27.15480613708496,26.29310417175293,26.257490158081055,27.327016830444336,27.184925079345703,99.50012969970703,99.50032806396484,99.50296020507812,99.50282287597656,26.0,26.0,26.0,26.0,1.9555448293685913,2.0057191848754883,8.404327392578125,8.404327392578125,-0.05391732603311539,0.05204182490706444,-0.022603169083595276,0.024976691231131554,0.06731030344963074,0.06991821527481079,0.4042396545410156,0.5458987951278687,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.996198654174805,-0.015390440910506984,-0.031045368840125803
1777979854.0672889,0.0,2.8355729579925537,2565,1,0.6499999761581421,0.0,0.29268336296081543,0.0,0.01716756820678711,-0.09766031801700592,0.5596845746040344,-0.008162260055541992,0.04314810782670975,0.8039562702178955,0.0,0.00507715530693531,0.00952265877276659,0.0018656379543244839,2.664433479309082,-0.01069957297295332,-0.09884961694478989,0.06614838540554047,0.06815385073423386,0.0947294756770134,0.09485869854688644,2365.37841796875,2989.62060546875,3567.31396484375,3688.85400390625,0.06795253604650497,0.1373506337404251,4.312958240509033,4.325503826141357,16.009384155273438,16.01258659362793,16.01601791381836,16.01382827758789,26.058656692504883,26.078670501708984,26.100109100341797,26.086421966552734,26.204275131225586,26.351730346679688,27.24341583251953,27.32443618774414,26.215057373046875,26.267757415771484,27.20135498046875,27.172101974487305,26.29381561279297,26.258054733276367,27.345569610595703,27.20264434814453,99.50012969970703,99.50033569335938,99.50301361083984,99.50286865234375,26.0,26.0,26.0,26.0,2.1201295852661133,2.2067174911499023,2.7551581859588623,2.7551581859588623,-0.05351540818810463,0.05152963101863861,-0.02224332094192505,0.0245316494256258,0.06731033325195312,0.06991827487945557,0.4051389694213867,0.580124020576477,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.996036529541016,-0.020944510836589884,-0.042060842077066646
1777979854.0820973,0.0,3.1389975547790527,2575,1,0.6499999761581421,0.0,0.3040112257003784,0.0,0.0019396096467971802,-0.0927361473441124,0.6133211851119995,-0.005888700485229492,0.02984101139008999,0.8865574598312378,0.0,0.00421839440241456,0.013165371492505074,0.0017817951738834381,2.664346933364868,-0.010869184508919716,-0.09887966513633728,0.06567393988370895,0.06772482395172119,0.09421741962432861,0.09440390765666962,2387.16845703125,3019.37841796875,3448.634033203125,3583.916748046875,0.07431384176015854,0.11823966354131699,3.646677255630493,3.6712141036987305,16.009410858154297,16.012617111206055,16.016149520874023,16.013957977294922,26.058818817138672,26.078861236572266,26.100934982299805,26.08723258972168,26.20474624633789,26.352455139160156,27.248716354370117,27.33039665222168,26.21554946899414,26.268339157104492,27.20649528503418,27.17750358581543,26.2944393157959,26.258621215820312,27.351224899291992,27.208194732666016,99.50012969970703,99.50033569335938,99.5030288696289,99.50287628173828,26.0,26.0,26.0,26.0,2.515103816986084,2.417309284210205,-1.3105145692825317,-1.3105145692825317,-0.05321265012025833,0.05119536072015762,-0.021840669214725494,0.02406068705022335,0.06731036305427551,0.06991839408874512,0.40569496154785156,0.6078411340713501,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.995899200439453,-0.026897429312159493,-0.05376247414925928
1777979854.0976667,0.0,3.438600778579712,2580,1,0.6499999761581421,0.0,0.31083035469055176,0.0,0.05994424223899841,-0.10053587704896927,0.5849014520645142,0.0014027953147888184,0.01587934046983719,0.9701834917068481,0.0,-0.0009451038204133511,0.014845244586467743,0.005949928425252438,2.6643002033233643,-0.011079520918428898,-0.0989295020699501,0.0653047189116478,0.06741885840892792,0.09370396286249161,0.093967504799366,2447.916259765625,3089.298095703125,3382.293212890625,3527.506103515625,0.058491673320531845,0.11805792152881622,2.322763442993164,2.388021945953369,16.009437561035156,16.01264762878418,16.016281127929688,16.014089584350586,26.05898094177246,26.079051971435547,26.101755142211914,26.088062286376953,26.205223083496094,26.353195190429688,27.267356872558594,27.35100555419922,26.216041564941406,26.26893424987793,27.224607467651367,27.196292877197266,26.29507064819336,26.259201049804688,27.371036529541016,27.227474212646484,99.50012969970703,99.50033569335938,99.5030746459961,99.5029296875,26.0,26.0,26.0,26.0,2.59989333152771,2.7638614177703857,-4.955585956573486,-4.955585956573486,-0.052995964884757996,0.05097232758998871,-0.02147390879690647,0.023691197857260704,0.06731036305427551,0.06991845369338989,0.40604496002197266,0.6347551941871643,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.995758056640625,-0.03385580412405014,-0.06716953292769035
1777979854.1128309,0.0,3.640922784805298,2585,1,0.6620000004768372,0.0,0.31579482555389404,0.0,0.3649536967277527,-0.3902890384197235,-0.3025285303592682,0.02763691544532776,-0.014629915356636047,0.997053325176239,0.0,-0.017824877053499222,0.013156186789274216,0.017716938629746437,2.6644225120544434,-0.011307009495794773,-0.09911445528268814,0.06505594402551651,0.06728199124336243,0.09357552975416183,0.09378720819950104,2514.697021484375,3211.260986328125,3171.62890625,3463.860595703125,0.0744883269071579,0.06010086461901665,1.3145134449005127,0.6665229797363281,16.009462356567383,16.012678146362305,16.016416549682617,16.014225006103516,26.05914306640625,26.079242706298828,26.10260009765625,26.088905334472656,26.205821990966797,26.353857040405273,27.295705795288086,27.38430404663086,26.216657638549805,26.269458770751953,27.252147674560547,27.2266902923584,26.295833587646484,26.25971221923828,27.401123046875,27.2586669921875,99.50012969970703,99.50033569335938,99.5031509399414,99.50302124023438,26.0,26.0,26.0,26.0,2.989072561264038,2.767829656600952,-1.5930280685424805,-4.246941089630127,-0.05298018455505371,0.05071543529629707,-0.021453313529491425,0.023331033065915108,0.0673103928565979,0.06991854310035706,0.40611934661865234,0.6609200835227966,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.995615005493164,-0.04117195076160615,-0.08040764068562502
1777979854.1284134,0.0,3.3811943531036377,2589,1,0.6499999761581421,0.0,0.320715069770813,0.0,-0.23147331178188324,-0.2067609429359436,-0.45259469747543335,0.0037995874881744385,-0.051422711461782455,0.9277955889701843,0.0,-0.018853966146707535,0.021319599822163582,-0.005690080113708973,2.6647274494171143,-0.011590818874537945,-0.0992240309715271,0.06514555215835571,0.06738590449094772,0.09738343209028244,0.09725519269704819,2674.2099609375,3457.9267578125,1998.1160888671875,2436.2958984375,0.04292571544647217,0.04476894810795784,1.024237036705017,0.3362334668636322,16.009489059448242,16.01270866394043,16.016551971435547,16.01436424255371,26.05930519104004,26.07943344116211,26.10344886779785,26.089773178100586,26.206571578979492,26.354549407958984,27.30268669128418,27.396636962890625,26.217430114746094,26.270015716552734,27.25893783569336,27.237899780273438,26.29677963256836,26.260257720947266,27.408599853515625,27.27016258239746,99.50012969970703,99.50033569335938,99.503173828125,99.5030517578125,26.0,26.0,26.0,26.0,2.4950804710388184,2.4527554512023926,9.163576126098633,8.418620109558105,-0.05322829633951187,0.05061192065477371,-0.024870935827493668,0.026094617322087288,0.06731042265892029,0.06991860270500183,0.4055461883544922,0.6862263679504395,0.0,0.07999999821186066,0.11999999731779099,0.6699999570846558,26.0,34.0,0.0,29.99547004699707,-0.04786046141578557,-0.09322499866243675
