timestamp,speed_kmh,rpms,gear,throttle,brake,clutch,steer_angle,g_lat,g_vert,g_lon,vel_x,vel_y,vel_z,slip_angle,yaw_rate,pitch_rate,roll_rate,heading,pitch,roll,susp_fl,susp_fr,susp_rl,susp_rr,load_fl,load_fr,load_rl,load_rr,slip_fl,slip_fr,slip_rl,slip_rr,psi_fl,psi_fr,psi_rl,psi_rr,tyre_core_fl,tyre_core_fr,tyre_core_rl,tyre_core_rr,temp_i_fl,temp_i_fr,temp_i_rl,temp_i_rr,temp_m_fl,temp_m_fr,temp_m_rl,temp_m_rr,temp_o_fl,temp_o_fr,temp_o_rl,temp_o_rr,wear_fl,wear_fr,wear_rl,wear_rr,brake_temp_fl,brake_temp_fr,brake_temp_rl,brake_temp_rr,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr,camber_fl,camber_fr,camber_rl,camber_rr,ride_height_f,ride_height_r,cg_height,turbo_boost,drs,tc,abs,brake_bias,air_temp,road_temp,water_temp,fuel
1777885923.5326803,1.2673561573028564,3363,1,0.0,0.0,1.0,0.0,-0.007002837955951691,0.03621425852179527,0.6526324152946472,0.0019785352051258087,0.022578328847885132,0.3716726303100586,0.0,-0.0006789675680920482,-0.05188978463411331,-0.002736288122832775,0.10884903371334076,-0.014397306367754936,0.01105443574488163,0.0546986386179924,0.054759323596954346,0.08549171686172485,0.08529232442378998,2703.928466796875,2705.50146484375,4063.463134765625,4006.881103515625,0.13728255033493042,0.11871086061000824,3.529086112976074,3.5285449028015137,16.002685546875,16.002641677856445,16.003053665161133,16.002803802490234,26.01678466796875,26.016511917114258,26.01908302307129,26.01752281188965,26.119556427001953,26.174917221069336,26.726093292236328,26.80679702758789,26.126081466674805,26.130271911621094,26.715232849121094,26.70840072631836,26.169490814208984,26.123027801513672,26.811979293823242,26.71662139892578,99.50010681152344,99.5001220703125,99.50181579589844,99.50179290771484,26.0,26.0,26.0,26.0,1.1262292861938477,1.1130144596099854,35.63874053955078,35.63874053955078,-0.055066026747226715,0.05610498785972595,-0.03285324200987816,0.03479856997728348,0.06979870796203613,0.07858514785766602,0.3831453323364258,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
1777885923.5483236,1.6231886148452759,3115,1,0.0,0.0,1.0,0.0,0.009690366685390472,0.02708546444773674,0.689637303352356,0.0016481466591358185,0.026415076106786728,0.4700486361980438,0.0,-0.000915726472157985,-0.05139324814081192,-0.002181404735893011,0.10886309295892715,-0.013617854565382004,0.011094563640654087,0.05394257605075836,0.05394475907087326,0.08576514571905136,0.08554475009441376,2547.0341796875,2542.160888671875,4189.400390625,4118.08251953125,0.14582113921642303,0.15109743177890778,3.8409669399261475,3.8353376388549805,16.002700805664062,16.002656936645508,16.003149032592773,16.00289535522461,26.01688003540039,26.0166072845459,26.01968002319336,26.018091201782227,26.120075225830078,26.175756454467773,26.857791900634766,26.949657440185547,26.12662124633789,26.13094139099121,26.845355987548828,26.836956024169922,26.170177459716797,26.123668670654297,26.956192016601562,26.846364974975586,99.50010681152344,99.5001220703125,99.502197265625,99.50216674804688,26.0,26.0,26.0,26.0,1.458662986755371,1.3726181983947754,33.01380157470703,33.01380157470703,-0.054784879088401794,0.0558525025844574,-0.03293013945221901,0.034963421523571014,0.06979870796203613,0.0785851776599884,0.38346385955810547,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
1777885923.5638938,2.057643175125122,2864,1,0.0,0.0,0.9456355571746826,0.0,-0.0029375851154327393,0.010884877294301987,0.6994619965553284,0.002061605453491211,0.029242172837257385,0.5907273888587952,0.0,-0.0006905925692990422,-0.0445970743894577,-0.001625576987862587,0.10885880887508392,-0.012754947878420353,0.011123530566692352,0.052891068160533905,0.052887097001075745,0.08614633232355118,0.08590178936719894,2396.04931640625,2382.933349609375,4285.00341796875,4206.35009765625,0.17056982219219208,0.1586039662361145,4.113867282867432,4.113585472106934,16.00271987915039,16.002676010131836,16.00327491760254,16.00301742553711,26.01699447631836,26.016721725463867,26.020465850830078,26.018863677978516,26.12061309814453,26.176769256591797,27.003765106201172,27.107603073120117,26.127182006835938,26.131750106811523,26.989604949951172,26.979049682617188,26.1709041595459,26.124446868896484,27.116100311279297,26.989730834960938,99.50010681152344,99.5001220703125,99.50263214111328,99.5025863647461,26.0,26.0,26.0,26.0,1.70918607711792,1.8871463537216187,28.509078979492188,28.509078979492188,-0.054386381059885025,0.05551225692033768,-0.03308450058102608,0.03514372557401657,0.06979873776435852,0.07858523726463318,0.3838930130004883,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
1777885923.5789506,2.421374559402466,2595,1,0.0,0.0,0.5566715598106384,0.0,-0.0013121962547302246,-0.0005949698388576508,0.688766360282898,0.0014628320932388306,0.029751533642411232,0.6924372315406799,0.0,-0.0004089379799552262,-0.035481344908475876,-0.0007127970457077026,0.10886477679014206,-0.012165367603302002,0.011137707158923149,0.052015528082847595,0.051988400518894196,0.086469367146492,0.0861964002251625,2310.815673828125,2292.871826171875,4310.4990234375,4232.30029296875,0.18570129573345184,0.17044073343276978,4.283875942230225,4.28325080871582,16.002735137939453,16.0026912689209,16.003393173217773,16.00313377380371,26.01708984375,26.016817092895508,26.021202087402344,26.019590377807617,26.121124267578125,26.177518844604492,27.10980987548828,27.222553253173828,26.12771224975586,26.132343292236328,27.09442138671875,27.08243179321289,26.17158317565918,26.125015258789062,27.232330322265625,27.094009399414062,99.50011444091797,99.5001220703125,99.50293731689453,99.50289916992188,26.0,26.0,26.0,26.0,2.122316837310791,1.8926327228546143,26.567716598510742,26.567716598510742,-0.054052308201789856,0.05523468181490898,-0.033234450966119766,0.03532951697707176,0.06979873776435852,0.07858529686927795,0.38426780700683594,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
1777885923.5941026,2.7823328971862793,2443,1,0.0,0.0,0.2754223644733429,0.0,-0.0003189966082572937,-0.00756448321044445,0.6727544069290161,0.0003222450613975525,0.02866218611598015,0.7932529449462891,0.0,-0.0018140897154808044,-0.024527505040168762,-0.001103149726986885,0.10887846350669861,-0.011730956844985485,0.011155915446579456,0.05120553821325302,0.05114775896072388,0.08675551414489746,0.08646215498447418,2263.296142578125,2248.206787109375,4292.3662109375,4209.3828125,0.18502004444599152,0.18605777621269226,4.415567398071289,4.415102958679199,16.002750396728516,16.00270652770996,16.003520965576172,16.00326156616211,26.01718521118164,26.01691246032715,26.022008895874023,26.020387649536133,26.121625900268555,26.178264617919922,27.201988220214844,27.322280883789062,26.128232955932617,26.132930755615234,27.185546875,27.172100067138672,26.17224884033203,26.12558364868164,27.33339500427246,27.184438705444336,99.50011444091797,99.5001220703125,99.50320434570312,99.50315856933594,26.0,26.0,26.0,26.0,2.272948741912842,2.462834119796753,21.35944175720215,21.35944175720215,-0.053782470524311066,0.05496099591255188,-0.03334663435816765,0.03546902909874916,0.06979873776435852,0.07858538627624512,0.3846321105957031,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
1777885923.60929,3.147819995880127,2377,1,0.0,0.0,0.14495849609375,0.0,0.0031089261174201965,-0.019622627645730972,0.6528417468070984,0.0014191865921020508,0.026119109243154526,0.8949562311172485,0.0,-0.00014255901623982936,-0.013748650439083576,0.0011771423742175102,0.10888951271772385,-0.011460174806416035,0.011151970364153385,0.050502434372901917,0.05045890808105469,0.08698282390832901,0.08667124807834625,2254.213623046875,2231.280029296875,4230.93798828125,4152.9609375,0.1736343950033188,0.1936979740858078,4.5152788162231445,4.51468563079834,16.002765655517578,16.002721786499023,16.003658294677734,16.003398895263672,26.01728057861328,26.01700782775879,26.022869110107422,26.021238327026367,26.12215232849121,26.17896270751953,27.267547607421875,27.39330291748047,26.128780364990234,26.133480072021484,27.2503662109375,27.23592758178711,26.172941207885742,26.126110076904297,27.405311584472656,27.248798370361328,99.50011444091797,99.5001220703125,99.5033950805664,99.50334930419922,26.0,26.0,26.0,26.0,2.6398355960845947,2.4609904289245605,14.275408744812012,14.275408744812012,-0.053507983684539795,0.054755136370658875,-0.03345976769924164,0.03558254987001419,0.06979873776435852,0.07858544588088989,0.3849611282348633,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
1777885923.6258354,3.505939245223999,2346,1,0.0,0.0,0.08573486655950546,0.0,-0.008146867156028748,-0.028743896633386612,0.6522938013076782,0.0010584071278572083,0.022072669118642807,0.993412971496582,0.0,-0.0005323130753822625,-0.003898561466485262,0.0010548669379204512,0.10888807475566864,-0.011344126425683498,0.011132446117699146,0.04995695501565933,0.0499069020152092,0.08713210374116898,0.08681415021419525,2267.61767578125,2259.625732421875,4144.58349609375,4076.67236328125,0.1909240186214447,0.1647053062915802,4.594895362854004,4.593165397644043,16.00278091430664,16.002737045288086,16.003803253173828,16.0035400390625,26.017375946044922,26.01710319519043,26.023765563964844,26.022123336791992,26.12265396118164,26.1796932220459,27.30159568786621,27.43024253845215,26.12929916381836,26.13405418395996,27.284032821655273,27.26909637451172,26.173606872558594,26.126663208007812,27.44270133972168,27.28223991394043,99.50011444091797,99.5001220703125,99.50350189208984,99.50344848632812,26.0,26.0,26.0,26.0,2.785090446472168,2.929896831512451,6.446305751800537,6.446305751800537,-0.05335259065032005,0.054525069892406464,-0.033536121249198914,0.035613033920526505,0.06979876756668091,0.07858550548553467,0.38523101806640625,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
1777885923.6409576,3.853938102722168,2391,1,0.6499999761581421,0.0,0.054143473505973816,0.0,-0.009323179721832275,-0.035871922969818115,0.6537759900093079,-0.0004944130778312683,0.017020564526319504,1.0896466970443726,-0.00045373704997440543,-0.000775521679315716,0.003999124746769667,7.404704228974879e-05,0.10889840871095657,-0.011359376832842827,0.011123821139335632,0.04958106577396393,0.049535319209098816,0.08720371872186661,0.08687598258256912,2311.18896484375,2303.828125,4053.641845703125,3992.236572265625,0.17471981048583984,0.15479937195777893,4.0773539543151855,4.077033996582031,16.002796173095703,16.00275230407715,16.00394630432129,16.003681182861328,26.017471313476562,26.01719856262207,26.024662017822266,26.02301025390625,26.123180389404297,26.18037223815918,27.3096981048584,27.43911361694336,26.12984848022461,26.13458824157715,27.292037963867188,27.277021408081055,26.174301147460938,26.127174377441406,27.45163345336914,27.29023551940918,99.50011444091797,99.5001220703125,99.50352478027344,99.50347137451172,26.0,26.0,26.0,26.0,3.2233126163482666,3.0938479900360107,-1.628008246421814,-1.628008246421814,-0.05325804278254509,0.05438926815986633,-0.03359382972121239,0.03562617301940918,0.06979876756668091,0.07858562469482422,0.3854227066040039,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
1777885923.65523,4.208455562591553,2566,1,0.6499999761581421,0.0,0.4101831018924713,0.0,-0.015082120895385742,-0.032346516847610474,0.67783522605896,-0.0025666505098342896,0.01215157750993967,1.189225196838379,-0.0021582543967768866,-2.3553417122457176e-05,0.009066479280591011,-0.0015179335605353117,0.10891327261924744,-0.011467905715107918,0.011135284788906574,0.04937963932752609,0.049323007464408875,0.08719460666179657,0.08686522394418716,2370.2822265625,2362.431884765625,4005.467041015625,3938.5478515625,0.1542196273803711,0.14379219710826874,1.3571324348449707,1.345913290977478,16.002811431884766,16.00276756286621,16.004093170166016,16.003828048706055,26.017566680908203,26.01729393005371,26.025583267211914,26.023921966552734,26.123722076416016,26.1810302734375,27.33613395690918,27.46786880493164,26.13040542602539,26.135099411010742,27.31818199157715,27.302824020385742,26.17500877380371,26.127666473388672,27.480680465698242,27.316253662109375,99.50011444091797,99.5001220703125,99.50360107421875,99.50354766845703,26.0,26.0,26.0,26.0,3.439687967300415,3.35378098487854,-6.381814956665039,-6.381814956665039,-0.0531807504594326,0.05431821942329407,-0.033574145287275314,0.035624124109745026,0.06979876756668091,0.078585684299469,0.3855266571044922,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
1777885923.6713681,4.105507850646973,2615,1,0.6499999761581421,0.0,0.5201391577720642,0.0,-0.004937432706356049,-0.07126212865114212,-0.6676768064498901,-0.007049329578876495,0.0015627313405275345,1.1214864253997803,-0.00628570209966081,0.004346753936260939,0.04868421331048012,-0.0049651628360152245,0.10886552929878235,-0.011913729831576347,0.011208921670913696,0.049444183707237244,0.049363650381565094,0.08761420845985413,0.08729858696460724,2506.189208984375,2474.17578125,3747.29052734375,3643.141357421875,0.13667689263820648,0.13994388282299042,1.9550774097442627,1.9489527940750122,16.002826690673828,16.002782821655273,16.004241943359375,16.00397491455078,26.017662048339844,26.01738929748535,26.02651596069336,26.02484893798828,26.12441062927246,26.18190574645996,27.357513427734375,27.491050720214844,26.131114959716797,26.13580322265625,27.33932113647461,27.32362174987793,26.175888061523438,26.128347396850586,27.504180908203125,27.33721923828125,99.50011444091797,99.5001220703125,99.50366973876953,99.50360870361328,26.0,26.0,26.0,26.0,3.0089893341064453,3.1745104789733887,7.259803771972656,7.259803771972656,-0.05312547832727432,0.05438804253935814,-0.033714935183525085,0.035914961248636246,0.06979876756668091,0.07858580350875854,0.38548755645751953,0.0,0.0,0.10000000149011612,0.11999999731779099,0.6800000071525574,26.0,34.0,0.0,30.0
